,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
211,0.0,Palmeiras,0.33,2.05,BPL,2021-01-18,1.0,7.281,0.023
212,1.0,Goiás,0.07,7.5,BPL,2021-01-18,0.0,0.328,0.001
213,0.0,Draw Arsenal v Newcastle,0.08,4.7,EPL,2021-01-18,0.0,0.428,0.001
214,1.0,Newcastle,0.05,8.5,EPL,2021-01-18,0.0,0.167,0.001
215,0.0,Cagliari,0.04,5.7,ISA,2021-01-18,0.0,0.107,0.0
216,0.0,Knicks,0.26,1.98,NBA,2021-01-18,1.0,4.52,0.014
217,1.0,Hawks,0.67,1.32,NBA,2021-01-18,1.0,30.013,0.093
218,2.0,Heat,0.68,1.42,NBA,2021-01-18,1.0,30.916,0.096
219,3.0,Trail Blazers,0.49,2.02,NBA,2021-01-18,0.0,16.053,0.05
220,4.0,Raptors,0.39,1.65,NBA,2021-01-18,1.0,10.169,0.032
221,5.0,Nets,0.47,2.1,NBA,2021-01-18,1.0,14.769,0.046
222,6.0,Rockets,0.29,1.98,NBA,2021-01-18,0.0,5.623,0.017
223,7.0,Lakers,0.73,1.27,NBA,2021-01-18,0.0,35.63,0.111
224,0.0,Portimonense,0.27,2.35,PPL,2021-01-18,1.0,4.874,0.015
