,Bet State Chosen,Allocation Percentage,League,Payouts (per Dollar),Date,American Odds,Update Time (EST)
225,Jazz,7.109,NBA,1.39,2021-01-19,-256,00:52:50
226,Hull City,3.678,ELO,1.83,2021-01-19,-120,00:52:50
227,Portsmouth,5.917,ELO,1.5,2021-01-19,-200,00:52:50
228,Sunderland,5.254,ELO,1.59,2021-01-19,-169,00:52:50
229,Draw Blackpool v Northampton,0.14,ELO,3.8,2021-01-19,+280,00:52:50
230,Northampton,0.107,ELO,6.0,2021-01-19,+500,00:52:50
231,Rochdale,0.055,ELO,5.3,2021-01-19,+430,00:52:50
232,Draw Crewe Alexandra v Bristol Rovers,0.177,ELO,3.7,2021-01-19,+270,00:52:50
233,Bristol Rovers,0.56,ELO,5.6,2021-01-19,+459,00:52:50
234,Draw Lincoln City v Gillingham,0.177,ELO,3.7,2021-01-19,+270,00:52:50
235,Gillingham,0.107,ELO,5.7,2021-01-19,+470,00:52:50
236,Fleetwood Town,0.632,ELO,2.9,2021-01-19,+190,00:52:50
237,West Ham,4.236,EPL,1.57,2021-01-19,-175,00:52:50
238,Chelsea,0.632,EPL,2.45,2021-01-19,+145,00:52:50
239,Leverkusen,0.79,GPL,3.2,2021-01-19,+220,00:52:50
240,Mainz,0.219,GPL,4.2,2021-01-19,+320,00:52:50
241,Kayserispor,0.429,TSL,4.4,2021-01-19,+340,00:52:50
242,Draw Kayserispor v Başakşehir,0.107,TSL,3.9,2021-01-19,+290,00:52:50
243,Trabzonspor,2.996,TSL,1.83,2021-01-19,-120,00:52:50
244,Elche,0.079,LLA,4.6,2021-01-19,+359,00:52:50
245,Cádiz,0.709,LLA,2.95,2021-01-19,+195,00:52:50
246,Alavés,0.14,LLA,5.5,2021-01-19,+450,00:52:50
